esr-tmp_freq, esr-tmp_data
2.784000000000000000e+09, -9.700000000000000289e-02
2.785000000000000000e+09, -8.999999999999999667e-02
2.786000000000000000e+09, -4.900000000000000189e-02
2.787000000000000000e+09, -3.200000000000000067e-02
2.788000000000000000e+09, -5.399999999999999939e-02
2.789000000000000000e+09, -6.300000000000000044e-02
2.790000000000000000e+09, -8.799999999999999489e-02
2.791000000000000000e+09, -2.700000000000000316e-02
2.792000000000000000e+09, -2.500000000000000139e-02
2.793000000000000000e+09, -5.000000000000000278e-02
2.794000000000000000e+09, -5.599999999999999423e-02
2.795000000000000000e+09, -4.800000000000000100e-02
2.796000000000000000e+09, -4.000000000000000083e-03
2.797000000000000000e+09, 3.200000000000000067e-02
2.798000000000000000e+09, 4.399999999999999745e-02
2.799000000000000000e+09, 1.300000000000000114e-02
2.800000000000000000e+09, 5.000000000000000104e-03
2.801000000000000000e+09, 9.000000000000001055e-03
2.802000000000000000e+09, 5.999999999999999084e-02
2.803000000000000000e+09, 3.099999999999999978e-02
2.804000000000000000e+09, 1.000000000000000021e-03
2.805000000000000000e+09, 2.200000000000000219e-02
2.806000000000000000e+09, 2.800000000000000405e-02
2.807000000000000000e+09, 4.599999999999999922e-02
2.808000000000000000e+09, 6.500000000000000222e-02
2.809000000000000000e+09, 5.899999999999999689e-02
2.810000000000000000e+09, 6.400000000000000133e-02
2.811000000000000000e+09, 1.039999999999999813e-01
2.812000000000000000e+09, 1.070000000000000118e-01
2.813000000000000000e+09, 8.400000000000000522e-02
2.814000000000000000e+09, 1.149999999999999911e-01
2.815000000000000000e+09, 1.600000000000000033e-01
2.816000000000000000e+09, 1.760000000000000175e-01
2.817000000000000000e+09, 2.119999999999999662e-01
2.818000000000000000e+09, 2.269999999999999796e-01
2.819000000000000000e+09, 2.269999999999999796e-01
2.820000000000000000e+09, 2.870000000000000329e-01
2.821000000000000000e+09, 3.440000000000000280e-01
2.822000000000000000e+09, 3.850000000000000089e-01
2.823000000000000000e+09, 4.469999999999999529e-01
2.824000000000000000e+09, 5.889999999999999680e-01
2.825000000000000000e+09, 7.310000000000000941e-01
2.826000000000000000e+09, 8.389999999999999680e-01
2.827000000000000000e+09, 9.849999999999999867e-01
2.828000000000000000e+09, 1.219999999999999973e+00
2.829000000000000000e+09, 1.419999999999999929e+00
2.830000000000000000e+09, 1.658999999999999808e+00
2.831000000000000000e+09, 1.925000000000000044e+00
2.832000000000000000e+09, 2.183000000000000274e+00
2.833000000000000000e+09, 2.370000000000000107e+00
2.834000000000000000e+09, 2.580000000000000071e+00
2.835000000000000000e+09, 2.624000000000000554e+00
2.836000000000000000e+09, 2.487999999999999989e+00
2.837000000000000000e+09, 2.388999999999999790e+00
2.838000000000000000e+09, 2.299999999999999822e+00
2.839000000000000000e+09, 2.130999999999999783e+00
2.840000000000000000e+09, 1.838000000000000078e+00
2.841000000000000000e+09, 1.556999999999999940e+00
2.842000000000000000e+09, 1.329000000000000181e+00
2.843000000000000000e+09, 1.104999999999999982e+00
2.844000000000000000e+09, 9.490000000000000657e-01
2.845000000000000000e+09, 8.120000000000000551e-01
2.846000000000000000e+09, 7.209999999999999742e-01
2.847000000000000000e+09, 6.290000000000000036e-01
2.848000000000000000e+09, 6.039999999999999813e-01
2.849000000000000000e+09, 5.640000000000000568e-01
2.850000000000000000e+09, 5.630000000000000560e-01
2.851000000000000000e+09, 6.029999999999999805e-01
2.852000000000000000e+09, 6.360000000000000098e-01
2.853000000000000000e+09, 6.760000000000000453e-01
2.854000000000000000e+09, 8.060000000000000497e-01
2.855000000000000000e+09, 9.219999999999999307e-01
2.856000000000000000e+09, 1.137000000000000011e+00
2.857000000000000000e+09, 1.293000000000000149e+00
2.858000000000000000e+09, 1.467999999999999972e+00
2.859000000000000000e+09, 1.739999999999999991e+00
2.860000000000000000e+09, 2.073999999999999844e+00
2.861000000000000000e+09, 2.386000000000000121e+00
2.862000000000000000e+09, 2.819999999999999840e+00
2.863000000000000000e+09, 3.267000000000000348e+00
2.864000000000000000e+09, 3.641999999999999460e+00
2.865000000000000000e+09, 4.107000000000000206e+00
2.866000000000000000e+09, 4.527000000000000135e+00
2.867000000000000000e+09, 4.823000000000000398e+00
2.868000000000000000e+09, 5.048000000000000043e+00
2.869000000000000000e+09, 5.218999999999999417e+00
2.870000000000000000e+09, 5.237000000000000099e+00
