esr-zerofield01_freq, esr-zerofield01_data
2.750000000000000000e+09, -5.437000000000000166e-02
2.751000000000000000e+09, -5.295000000000000401e-02
2.752000000000000000e+09, -7.090000000000000469e-02
2.753000000000000000e+09, -5.066999999999999282e-02
2.754000000000000000e+09, -6.289000000000000146e-02
2.755000000000000000e+09, -6.776000000000000079e-02
2.756000000000000000e+09, -6.987999999999999767e-02
2.757000000000000000e+09, -6.792000000000000814e-02
2.758000000000000000e+09, -4.811999999999999611e-02
2.759000000000000000e+09, -7.025000000000000688e-02
2.760000000000000000e+09, -6.890000000000000291e-02
2.761000000000000000e+09, -6.839000000000000634e-02
2.762000000000000000e+09, -7.494000000000000661e-02
2.763000000000000000e+09, -8.288999999999999146e-02
2.764000000000000000e+09, -5.755000000000000393e-02
2.765000000000000000e+09, -6.464999999999999913e-02
2.766000000000000000e+09, -6.060999999999999721e-02
2.767000000000000000e+09, -7.220999999999999641e-02
2.768000000000000000e+09, -8.531999999999999307e-02
2.769000000000000000e+09, -8.504000000000000448e-02
2.770000000000000000e+09, -1.095200000000000062e-01
2.771000000000000000e+09, -8.694999999999999951e-02
2.772000000000000000e+09, -6.345000000000000639e-02
2.773000000000000000e+09, -6.887999999999999678e-02
2.774000000000000000e+09, -9.156000000000000250e-02
2.775000000000000000e+09, -1.018300000000000038e-01
2.776000000000000000e+09, -7.026999999999999913e-02
2.777000000000000000e+09, -6.169000000000000178e-02
2.778000000000000000e+09, -6.656000000000000805e-02
2.779000000000000000e+09, -8.380999999999999561e-02
2.780000000000000000e+09, -1.049900000000000000e-01
2.781000000000000000e+09, -9.203999999999999682e-02
2.782000000000000000e+09, -1.125099999999999989e-01
2.783000000000000000e+09, -7.660999999999999754e-02
2.784000000000000000e+09, -7.562000000000000666e-02
2.785000000000000000e+09, -8.964999999999999358e-02
2.786000000000000000e+09, -7.996000000000000330e-02
2.787000000000000000e+09, -7.666999999999998816e-02
2.788000000000000000e+09, -7.663999999999999979e-02
2.789000000000000000e+09, -1.013199999999999934e-01
2.790000000000000000e+09, -8.618000000000000660e-02
2.791000000000000000e+09, -5.515000000000000457e-02
2.792000000000000000e+09, -4.291999999999999982e-02
2.793000000000000000e+09, -5.251999999999999724e-02
2.794000000000000000e+09, -6.021000000000000657e-02
2.795000000000000000e+09, -4.009000000000000064e-02
2.796000000000000000e+09, -5.254999999999999949e-02
2.797000000000000000e+09, -3.370999999999999691e-02
2.798000000000000000e+09, -5.541000000000000092e-02
2.799000000000000000e+09, -5.509000000000000008e-02
2.800000000000000000e+09, -1.720999999999999960e-02
2.801000000000000000e+09, -3.960000000000000325e-02
2.802000000000000000e+09, -4.245000000000000162e-02
2.803000000000000000e+09, -4.360000000000000160e-03
2.804000000000000000e+09, 1.704999999999999918e-02
2.805000000000000000e+09, 1.665000000000000160e-02
2.806000000000000000e+09, 4.023999999999999799e-02
2.807000000000000000e+09, 4.201999999999999486e-02
2.808000000000000000e+09, 7.506999999999999784e-02
2.809000000000000000e+09, 9.590000000000001301e-02
2.810000000000000000e+09, 9.409000000000000696e-02
2.811000000000000000e+09, 1.085300000000000015e-01
2.812000000000000000e+09, 1.625999999999999945e-01
2.813000000000000000e+09, 1.669700000000000073e-01
2.814000000000000000e+09, 1.418999999999999984e-01
2.815000000000000000e+09, 9.329999999999999405e-02
2.816000000000000000e+09, 1.490099999999999758e-01
2.817000000000000000e+09, 1.506899999999999906e-01
2.818000000000000000e+09, 1.483399999999999996e-01
2.819000000000000000e+09, 1.245699999999999863e-01
2.820000000000000000e+09, 1.403899999999999870e-01
2.821000000000000000e+09, 1.043100000000000138e-01
2.822000000000000000e+09, 8.608999999999999986e-02
2.823000000000000000e+09, 4.250999999999999918e-02
2.824000000000000000e+09, 4.881999999999999534e-02
2.825000000000000000e+09, 4.681000000000000438e-02
2.826000000000000000e+09, 4.782999999999999752e-02
2.827000000000000000e+09, 3.981999999999999429e-02
2.828000000000000000e+09, 2.391999999999999682e-02
2.829000000000000000e+09, 1.737999999999999962e-02
2.830000000000000000e+09, 1.107999999999999957e-02
2.831000000000000000e+09, 2.280999999999999694e-02
2.832000000000000000e+09, 3.919999999999999873e-03
2.833000000000000000e+09, 8.089999999999999969e-03
2.834000000000000000e+09, -2.459999999999999947e-03
2.835000000000000000e+09, 2.857999999999999777e-02
2.836000000000000000e+09, 4.513999999999999957e-02
2.837000000000000000e+09, 3.771000000000000046e-02
2.838000000000000000e+09, 7.703000000000000125e-02
2.839000000000000000e+09, 8.669999999999999929e-02
2.840000000000000000e+09, 7.819999999999999174e-02
2.841000000000000000e+09, 1.200600000000000001e-01
2.842000000000000000e+09, 1.525799999999999934e-01
2.843000000000000000e+09, 2.132400000000000129e-01
2.844000000000000000e+09, 2.554400000000000004e-01
2.845000000000000000e+09, 2.998499999999999499e-01
2.846000000000000000e+09, 3.604199999999999626e-01
2.847000000000000000e+09, 4.299100000000000144e-01
2.848000000000000000e+09, 5.081799999999999651e-01
2.849000000000000000e+09, 5.777299999999999658e-01
2.850000000000000000e+09, 7.322799999999999310e-01
2.851000000000000000e+09, 8.492600000000000149e-01
2.852000000000000000e+09, 1.004769999999999941e+00
2.853000000000000000e+09, 1.170709999999999917e+00
2.854000000000000000e+09, 1.429810000000000025e+00
2.855000000000000000e+09, 1.736909999999999954e+00
2.856000000000000000e+09, 2.061900000000000066e+00
2.857000000000000000e+09, 2.447589999999999932e+00
2.858000000000000000e+09, 2.760149999999999881e+00
2.859000000000000000e+09, 3.156060000000000088e+00
2.860000000000000000e+09, 3.578750000000000320e+00
2.861000000000000000e+09, 3.953399999999999803e+00
2.862000000000000000e+09, 4.356410000000000338e+00
2.863000000000000000e+09, 4.683819999999999872e+00
2.864000000000000000e+09, 4.981379999999999697e+00
2.865000000000000000e+09, 5.176330000000000098e+00
2.866000000000000000e+09, 5.385909999999999975e+00
2.867000000000000000e+09, 5.449339999999999407e+00
2.868000000000000000e+09, 5.467670000000000030e+00
2.869000000000000000e+09, 5.403690000000000104e+00
2.870000000000000000e+09, 5.390889999999999738e+00
2.871000000000000000e+09, 5.367650000000000254e+00
2.872000000000000000e+09, 5.328240000000000087e+00
2.873000000000000000e+09, 5.303420000000000023e+00
2.874000000000000000e+09, 5.267640000000000100e+00
2.875000000000000000e+09, 5.259730000000000238e+00
2.876000000000000000e+09, 5.146709999999999674e+00
2.877000000000000000e+09, 4.932229999999999670e+00
2.878000000000000000e+09, 4.648089999999999833e+00
2.879000000000000000e+09, 4.339459999999999873e+00
2.880000000000000000e+09, 3.947389999999999954e+00
2.881000000000000000e+09, 3.546089999999999964e+00
2.882000000000000000e+09, 3.048869999999999969e+00
